,code,literal,count,name,course
0,036,AUD,1, Австралійський долар ,"27,2243"
1,944,AZN,1, Азербайджанський манат ,"24,3960"
2,933,BYN,1, Білоруський рубль ,"15,0684"
3,975,BGN,1, Болгарський лев ,"22,6710"
4,410,KRW,100, Вона ,"2,9572"
5,344,HKD,1, Гонконгівський долар ,"5,3312"
6,208,DKK,1, Данська крона ,"5,9457"
